datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-22T14:00:00Z,244.9209,NA,NA
2016-09-22T13:00:00Z,244.93397413793105,NA,NA
2016-09-22T12:00:00Z,NaN,8.10576859291398,8.122347398144438
2016-09-22T11:00:00Z,245.26834905660377,NA,NA
2016-09-22T10:00:00Z,245.02314864864866,NA,NA
2016-09-22T09:00:00Z,244.9765,NA,NA
2016-09-22T08:00:00Z,242.45404464285716,NA,NA
2016-09-22T07:00:00Z,241.18735185185184,NA,NA
2016-09-22T06:00:00Z,241.12131666666667,NA,NA
2016-09-22T05:00:00Z,243.42574166666665,NA,NA
2016-09-22T04:00:00Z,243.734125,NA,NA
2016-09-22T03:00:00Z,242.7940930232558,NA,NA
2016-09-22T02:00:00Z,247.38192857142857,NA,NA
2016-09-22T01:00:00Z,248.587,NA,NA
2016-09-22T00:00:00Z,NaN,NA,NA
2016-09-21T23:00:00Z,237.25349166666666,NA,NA
2016-09-21T22:00:00Z,242.32252031707318,NA,NA
2016-09-21T21:00:00Z,239.3473846875,NA,NA
2016-09-21T20:00:00Z,236.9129027735849,NA,NA
2016-09-21T19:00:00Z,232.43522743333332,NA,NA
2016-09-21T18:00:00Z,230.5375266724138,NA,NA
2016-09-21T17:00:00Z,232.7850859661017,NA,NA
2016-09-21T16:00:00Z,234.99480532758622,NA,NA
2016-09-21T15:00:00Z,NaN,NA,NA
2016-09-21T14:00:00Z,NaN,NA,NA
2016-09-21T13:00:00Z,NaN,NA,NA
2016-09-21T12:00:00Z,NaN,NA,NA
2016-09-21T11:00:00Z,225.8917114,NA,NA
2016-09-21T10:00:00Z,227.05137553333333,NA,NA
2016-09-21T09:00:00Z,228.21829805,NA,NA
2016-09-21T08:00:00Z,232.63388983333334,NA,NA
2016-09-21T07:00:00Z,236.38358150943395,NA,NA
2016-09-21T06:00:00Z,236.22736856896552,NA,NA
2016-09-21T05:00:00Z,235.64883431666667,NA,NA
2016-09-21T04:00:00Z,236.29785865,NA,NA
2016-09-21T03:00:00Z,237.95093773333332,NA,NA
2016-09-21T02:00:00Z,241.20523313333334,NA,NA
2016-09-21T01:00:00Z,247.53697744444443,NA,NA
2016-09-21T00:00:00Z,NaN,NA,NA
2016-09-20T23:00:00Z,243.24820108333333,NA,NA
2016-09-20T22:00:00Z,238.89584246666666,NA,NA
2016-09-20T21:00:00Z,242.11106863333333,NA,NA
2016-09-20T20:00:00Z,238.97794161666667,NA,NA
2016-09-20T19:00:00Z,235.76964328333332,NA,NA
2016-09-20T18:00:00Z,235.24654103333333,NA,NA
2016-09-20T17:00:00Z,235.39461820338983,NA,NA
2016-09-20T16:00:00Z,237.674033,NA,NA
2016-09-20T15:00:00Z,247.376478,NA,NA
2016-09-20T14:00:00Z,NaN,NA,NA
2016-09-20T13:00:00Z,272.2175,NA,NA
2016-09-20T12:00:00Z,NaN,NA,NA
2016-09-20T11:00:00Z,249.12157895652174,NA,NA
2016-09-20T10:00:00Z,257.9044181818182,NA,NA
2016-09-20T09:00:00Z,281.2597166666667,NA,NA
2016-09-20T08:00:00Z,311.01763723809523,NA,NA
2016-09-20T07:00:00Z,274.98485714285715,NA,NA
2016-09-20T06:00:00Z,266.86858333333333,NA,NA
2016-09-20T05:00:00Z,261.7323671578947,NA,NA
2016-09-20T04:00:00Z,249.59574166666667,NA,NA
2016-09-20T03:00:00Z,240.91094166666667,NA,NA
2016-09-20T02:00:00Z,243.706475,NA,NA
2016-09-20T01:00:00Z,247.45305555555555,NA,NA
2016-09-20T00:00:00Z,NaN,NA,NA
2016-09-19T23:00:00Z,238.73886666666667,NA,NA
2016-09-19T22:00:00Z,236.94399563333334,NA,NA
